"type","group","key","context","ru","kk","en"
"data","specialty.name","6B01101","группа B001","Педагогика и психология","Педагогика және психология","Pedagogy and Psychology"
"data","specialty.description","6B01101","группа B001","Подготовка педагогов-психологов для образовательных учреждений","Білім беру мекемелеріне педагог-психологтарды дайындау","Training of teacher-psychologists for educational institutions"
"data","specialty.name","6B01103","группа B001","Психология в образовании (KZ)","Білім берудегі психология (KZ)","Psychology in Education (KZ)"
"data","specialty.description","6B01103","группа B001","Школьный психолог, обучение на казахском языке","Мектеп психологы, қазақ тілінде оқыту","School psychologist, Kazakh-language program"
"data","specialty.name","6B01111","группа B001","Психология в образовании (KZ-US)","Білім берудегі психология (KZ-US)","Psychology in Education (KZ-US)"
"data","specialty.description","6B01111","группа B001","Двойной диплом Казахстан-США: психология в образовании","Қазақстан-АҚШ қос дипломы: білім берудегі психология","Kazakhstan-USA double-degree program in educational psychology"
"data","specialty.name","6B01301","группа B003","Педагогика и методика начального обучения","Бастауыш оқытудың педагогикасы мен әдістемесі","Pedagogy and Methodology of Primary Education"
"data","specialty.description","6B01301","группа B003","Учитель начальных классов","Бастауыш сынып мұғалімі","Primary school teacher"
"data","specialty.name","6B01302","группа B003","Начальное образование и инклюзивная практика (KZ)","Бастауыш білім беру және инклюзивті тәжірибе (KZ)","Primary Education and Inclusive Practice (KZ)"
"data","specialty.description","6B01302","группа B003","Учитель начальных классов с инклюзивной подготовкой, обучение на казахском","Инклюзивті дайындығы бар бастауыш сынып мұғалімі, қазақ тілінде оқыту","Primary school teacher with inclusive education training, Kazakh-language program"
"data","specialty.name","6B01303","группа B003","Начальное образование (IP)","Бастауыш білім беру (IP)","Primary Education (IP)"
"data","specialty.description","6B01303","группа B003","Инновационная программа подготовки учителей начальных классов","Бастауыш сынып мұғалімдерін дайындаудың инновациялық бағдарламасы","Innovative program for training primary school teachers"
"data","specialty.name","6B01311","группа B003","Начальное образование и инклюзивная практика (KZ-US)","Бастауыш білім беру және инклюзивті тәжірибе (KZ-US)","Primary Education and Inclusive Practice (KZ-US)"
"data","specialty.description","6B01311","группа B003","Двойной диплом Казахстан-США: начальное образование и инклюзия","Қазақстан-АҚШ қос дипломы: бастауыш білім беру және инклюзия","Kazakhstan-USA double-degree: primary education and inclusion"
"data","specialty.name","6B01401","группа B005","Физическая культура и спорт","Дене шынықтыру және спорт","Physical Culture and Sports"
"data","specialty.description","6B01401","группа B005","Учитель физической культуры и тренер","Дене шынықтыру мұғалімі және жаттықтырушы","Physical education teacher and coach"
"data","specialty.name","6B01404","группа B005","Физическая культура и начальная военная подготовка","Дене шынықтыру және алғашқы әскери дайындық","Physical Culture and Initial Military Training"
"data","specialty.description","6B01404","группа B005","Преподаватель ФК и руководитель НВП","Дене шынықтыру оқытушысы және алғашқы әскери дайындық жетекшісі","PE instructor and head of initial military training"
"data","specialty.name","6B01405","группа B005","Физическая культура и спорт (IP)","Дене шынықтыру және спорт (IP)","Physical Culture and Sports (IP)"
"data","specialty.description","6B01405","группа B005","Подготовка профессиональных тренеров и учителей спорта","Кәсіби жаттықтырушылар мен спорт мұғалімдерін дайындау","Training of professional coaches and sports teachers"
"data","specialty.name","6B01402","группа B006","Музыкальное образование","Музыкалық білім беру","Music Education"
"data","specialty.description","6B01402","группа B006","Учитель музыки в организациях образования","Білім беру ұйымдарындағы музыка мұғалімі","Music teacher at educational institutions"
"data","specialty.name","6B01406","группа B006","Музыкальное образование (IP)","Музыкалық білім беру (IP)","Music Education (IP)"
"data","specialty.description","6B01406","группа B006","Инновационная программа подготовки учителей музыки","Музыка мұғалімдерін дайындаудың инновациялық бағдарламасы","Innovative program for training music teachers"
"data","specialty.name","6B01516","группа B009","Математика (IP)","Математика (IP)","Mathematics (IP)"
"data","specialty.description","6B01516","группа B009","Учитель математики для общеобразовательных школ","Жалпы білім беретін мектептерге арналған математика мұғалімі","Mathematics teacher for secondary schools"
"data","specialty.name","6B01515","группа B010","Физика (IP)","Физика (IP)","Physics (IP)"
"data","specialty.description","6B01515","группа B010","Учитель физики для общеобразовательных школ","Жалпы білім беретін мектептерге арналған физика мұғалімі","Physics teacher for secondary schools"
"data","specialty.name","6B01517","группа B011","Информатика (IP)","Информатика (IP)","Computer Science (IP)"
"data","specialty.description","6B01517","группа B011","Учитель информатики и основ программирования","Информатика және бағдарламалау негіздерінің мұғалімі","Teacher of computer science and basics of programming"
"data","specialty.name","6B01519","группа B012","Химия (IP)","Химия (IP)","Chemistry (IP)"
"data","specialty.description","6B01519","группа B012","Учитель химии для общеобразовательных школ","Жалпы білім беретін мектептерге арналған химия мұғалімі","Chemistry teacher for secondary schools"
"data","specialty.name","6B01513","группа B013","Биология (IP)","Биология (IP)","Biology (IP)"
"data","specialty.description","6B01513","группа B013","Учитель биологии для общеобразовательных школ","Жалпы білім беретін мектептерге арналған биология мұғалімі","Biology teacher for secondary schools"
"data","specialty.name","6B01518","группа B014","География (IP)","География (IP)","Geography (IP)"
"data","specialty.description","6B01518","группа B014","Учитель географии для общеобразовательных школ","Жалпы білім беретін мектептерге арналған география мұғалімі","Geography teacher for secondary schools"
"data","specialty.name","6B01602","группа B015","История и обществознание (IP)","Тарих және қоғамтану (IP)","History and Social Studies (IP)"
"data","specialty.description","6B01602","группа B015","Учитель истории и обществознания","Тарих және қоғамтану мұғалімі","Teacher of history and social studies"
"data","specialty.name","6B01706","группа B016","Казахский язык и литература (IP)","Қазақ тілі мен әдебиеті (IP)","Kazakh Language and Literature (IP)"
"data","specialty.description","6B01706","группа B016","Учитель казахского языка и литературы","Қазақ тілі мен әдебиеті мұғалімі","Teacher of Kazakh language and literature"
"data","specialty.name","6B01705","группа B017","Русский язык и литература в школах с русским и нерусским языками обучения (IP)","Орыс және орыс емес тілдерде оқытатын мектептердегі орыс тілі мен әдебиеті (IP)","Russian Language and Literature in schools with Russian and non-Russian languages of instruction (IP)"
"data","specialty.description","6B01705","группа B017","Учитель русского языка и литературы","Орыс тілі мен әдебиеті мұғалімі","Teacher of Russian language and literature"
"data","specialty.name","6B01704","группа B018","Иностранные языки (IP)","Шетел тілдері (IP)","Foreign Languages (IP)"
"data","specialty.description","6B01704","группа B018","Учитель иностранного языка","Шетел тілі мұғалімі","Foreign language teacher"
"data","specialty.name","6B01906","группа B020","Специальная педагогика","Арнайы педагогика","Special Pedagogy"
"data","specialty.description","6B01906","группа B020","Работа с детьми с особыми образовательными потребностями","Ерекше білім беруді қажет ететін балалармен жұмыс","Working with children with special educational needs"
"data","specialty.name","6B01907","группа B020","Специальная педагогика и инклюзивная практика (KZ)","Арнайы педагогика және инклюзивті тәжірибе (KZ)","Special Pedagogy and Inclusive Practice (KZ)"
"data","specialty.description","6B01907","группа B020","Специальная и инклюзивная педагогика, обучение на казахском","Арнайы және инклюзивті педагогика, қазақ тілінде оқыту","Special and inclusive pedagogy, Kazakh-language program"
"data","specialty.name","6B01908","группа B020","Специальная педагогика (IP)","Арнайы педагогика (IP)","Special Pedagogy (IP)"
"data","specialty.description","6B01908","группа B020","Инновационная программа специальной педагогики","Арнайы педагогиканың инновациялық бағдарламасы","Innovative special pedagogy program"
"data","specialty.name","6B01911","группа B020","Специальная педагогика и инклюзивная практика (KZ-US)","Арнайы педагогика және инклюзивті тәжірибе (KZ-US)","Special Pedagogy and Inclusive Practice (KZ-US)"
"data","specialty.description","6B01911","группа B020","Двойной диплом Казахстан-США: специальная педагогика","Қазақстан-АҚШ қос дипломы: арнайы педагогика","Kazakhstan-USA double-degree: special pedagogy"
"data","specialty.name","6B02101","группа B031","Дизайн","Дизайн","Design"
"data","specialty.description","6B02101","группа B031","Графический, промышленный и интерьерный дизайн","Графикалық, өнеркәсіптік және интерьер дизайны","Graphic, industrial and interior design"
"data","specialty.name","6B02302","группа B036","Иностранная филология","Шетел филологиясы","Foreign Philology"
"data","specialty.description","6B02302","группа B036","Изучение языков, литературы и культуры зарубежных стран","Шет елдердің тілдерін, әдебиетін және мәдениетін зерттеу","Study of foreign languages, literature and culture"
"data","specialty.name","6B02303","группа B036","Переводческое дело","Аударма ісі","Translation Studies"
"data","specialty.description","6B02303","группа B036","Профессиональный перевод и межкультурная коммуникация","Кәсіби аударма және мәдениетаралық коммуникация","Professional translation and intercultural communication"
"data","specialty.name","6B03201","группа B042","Журналистика","Журналистика","Journalism"
"data","specialty.description","6B03201","группа B042","СМИ, репортерская деятельность и связи с общественностью","БАҚ, репортерлік қызмет және қоғаммен байланыс","Mass media, reporting and public relations"
"data","specialty.name","6B04104","группа B046","Финансы","Қаржы","Finance"
"data","specialty.description","6B04104","группа B046","Управление финансами, банковское и страховое дело","Қаржыны басқару, банк және сақтандыру ісі","Financial management, banking and insurance"
"data","specialty.name","6B04108","группа B046","Бизнес и менеджмент (KZ)","Бизнес және менеджмент (KZ)","Business and Management (KZ)"
"data","specialty.description","6B04108","группа B046","Управление бизнес-процессами, обучение на казахском","Бизнес-процестерді басқару, қазақ тілінде оқыту","Business process management, Kazakh-language program"
"data","specialty.name","6B04111","группа B046","Бизнес и менеджмент (KZ-US)","Бизнес және менеджмент (KZ-US)","Business and Management (KZ-US)"
"data","specialty.description","6B04111","группа B046","Двойной диплом Казахстан-США: бизнес и менеджмент","Қазақстан-АҚШ қос дипломы: бизнес және менеджмент","Kazakhstan-USA double-degree: business and management"
"data","specialty.name","6B04201","группа B049","Юриспруденция","Құқықтану","Jurisprudence"
"data","specialty.description","6B04201","группа B049","Правовое регулирование и юридическая практика","Құқықтық реттеу және заңгерлік практика","Legal regulation and legal practice"
"data","specialty.name","6B05103","группа B050","Биотехнология (KZ)","Биотехнология (KZ)","Biotechnology (KZ)"
"data","specialty.description","6B05103","группа B050","Применение биологических процессов в производстве","Өндірісте биологиялық процестерді қолдану","Application of biological processes in industry"
"data","specialty.name","6B05111","группа B050","Биотехнология (KZ-US)","Биотехнология (KZ-US)","Biotechnology (KZ-US)"
"data","specialty.description","6B05111","группа B050","Двойной диплом Казахстан-США по биотехнологиям","Қазақстан-АҚШ биотехнология қос дипломы","Kazakhstan-USA double-degree in biotechnology"
"data","specialty.name","6B05202","группа B051","Экология","Экология","Ecology"
